기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2025/09/03,120.78,94.02,94.02,94.02,94.02,94.02,94.02,120.78,128.21,127.97,127.79,127.67,127.49,127.49,128.59,137.56,139.35,139.35,149.14,157.48,138.82,129.55,128.39,128.39,157.48,94.02,125.6
2025/09/02,120.56,91.5,91.5,91.5,91.5,91.5,91.85,122.51,129.95,129.77,129.71,129.53,129.41,129.23,129.23,129.23,140.56,130.32,141.04,141.04,138.99,129.95,130.13,127.42,141.04,91.5,123.85
2025/09/01,119.83,74.99,74.99,74.99,74.99,74.99,91.74,121.78,128.98,128.98,128.98,128.98,128.5,128.5,128.5,138.77,150.74,150.74,152.4,152.4,138.06,129.51,128.98,128.98,152.4,74.99,124.38
2025/08/31,117.64,116.55,84.79,84.79,84.79,84.79,84.79,84.79,117.64,120.74,119.48,120.45,120.45,120.28,120.23,120.28,120.28,120.45,121.86,122.13,122.13,121.8,120.96,117.64,122.13,84.79,113.36
2025/08/30,123.26,123.16,104.24,100.35,88.52,88.52,100.35,100.72,101.23,105.41,116.9,116.91,116.91,116.91,116.9,113.29,133.8,134.13,134.13,134.13,151.15,123.3,121.11,120.79,151.15,88.52,117.9
2025/08/29,125.68,110.5,108.81,108.81,108.81,108.81,112.34,117.49,118.2,122.77,122.19,125.72,125.72,125.72,149.8,154.08,131.47,131.51,131.78,131.78,131.78,131.78,120.27,120.27,154.08,108.81,125.62
2025/08/28,124.4,111.33,109.49,109.49,109.49,109.49,113.17,115,118.8,121.39,121.39,119.01,125.17,120.81,121.39,130.57,130.59,133.67,133.95,133.95,133.95,133.95,118.9,118.7,133.95,109.49,122.96
2025/08/27,124.21,110.52,108.68,90.92,90.94,108.68,112.36,116.78,119.35,119.47,117.53,119.47,117.03,120.29,120.09,120.29,130.73,133.67,133.95,133.95,133.95,133.95,120.8,120.8,133.95,90.92,120.68
2025/08/26,130.34,113.96,114.72,114.72,114.72,114.72,114.72,116.56,125.48,120.58,141.83,141.82,131.84,141.83,141.83,158.62,141.83,131.88,132.15,132.15,132.15,119.51,119.51,120.14,158.62,113.96,129.45
2025/08/25,114.66,84.24,84.24,84.24,84.24,84.24,85.95,118.93,130.18,130.18,130.18,130.14,122.79,130.03,130.14,130.14,130.14,130.46,131.69,131.69,122.77,120.81,120.77,120.74,131.69,84.24,119.31
2025/08/24,115.13,115.13,112.77,115.13,111.44,109.59,113.28,115.13,115.13,117.94,117.77,117.72,117.72,117.72,117.72,117.72,117.72,117.77,127.68,128.78,128.78,123,119.97,118.45,128.78,109.59,118.5
